"","SYMBOL","ENSEMBL","ENTREZID"
"566","SSH1","ENSG00000084112","54434"
"567","NEU1","ENSG00000204386","4758"
"568","NEU1","ENSG00000227315","4758"
"569","NEU1","ENSG00000234343","4758"
"570","NEU1","ENSG00000234846","4758"
"571","NEU1","ENSG00000227129","4758"
"572","NEU1","ENSG00000184494","4758"
"573","NEU1","ENSG00000228691","4758"
"574","NEU1","ENSG00000223957","4758"
"575","DHRS1","ENSG00000157379","115817"
"576","DHRS1","ENSG00000284868","115817"
"577","MAGI2","ENSG00000187391","9863"
"578","TFPI2","ENSG00000105825","7980"
"579","PGAM2","ENSG00000164708","5224"
"580","ARRDC4","ENSG00000140450","91947"
"581","LRRC7","ENSG00000033122","57554"
"582","GLT8D2","ENSG00000120820","83468"
"583","RELL1","ENSG00000181826","768211"
"584","POLE","ENSG00000177084","5426"
"585","PITPNC1","ENSG00000154217","26207"
"586","DNAJC28","ENSG00000177692","54943"
"587","DNAJC28","ENSG00000262911","54943"
"588","LINGO2","ENSG00000174482","158038"
"589","IRF9","ENSG00000213928","10379"
"590","IRF9","ENSG00000285048","10379"
"591","USP1","ENSG00000162607","7398"
"592","MYRF","ENSG00000124920","745"
"593","HIST1H4A","ENSG00000278637","8359"
"594","CDK1","ENSG00000170312","983"
"595","KIAA0825","ENSG00000185261","285600"
"596","MMS22L","ENSG00000146263","253714"
"597","SERINC5","ENSG00000164300","256987"
"598","RFC4","ENSG00000163918","5984"
"599","F2RL2","ENSG00000164220","2151"
"600","ITGA9","ENSG00000144668","3680"
"601","SLC9A9","ENSG00000181804","285195"
"602","RFLNB","ENSG00000183688","359845"
"603","RFLNB","ENSG00000283979","359845"
"604","LRAT","ENSG00000121207","9227"
"605","NFKBIA","ENSG00000100906","4792"
"606","EXOSC2","ENSG00000130713","23404"
"607","TNFAIP3","ENSG00000118503","7128"
"608","B3GALT2","ENSG00000162630","8707"
"609","DNA2","ENSG00000138346","1763"
"610","GRIA2","ENSG00000120251","2891"
"611","RHOBTB3","ENSG00000164292","22836"
"612","ATP8A1","ENSG00000124406","10396"
"613","HSPG2","ENSG00000142798","3339"
"614","KIF15","ENSG00000163808","56992"
"615","KIF15","ENSG00000280610","56992"
"616","MUC1","ENSG00000185499","4582"
"617","RNF217","ENSG00000146373","154214"
"618","EMP1","ENSG00000134531","2012"
"619","SHISA2","ENSG00000180730","387914"
"620","SERPINB7","ENSG00000166396","8710"
"621","CELSR2","ENSG00000143126","1952"
"622","VPS39","ENSG00000166887","23339"
"623","CDCA8","ENSG00000134690","55143"
"624","F8","ENSG00000185010","2157"
"625","LINC00910","ENSG00000188825","100130581"
"626","ZNF850","ENSG00000267041","342892"
"627","FRY","ENSG00000073910","10129"
"628","SLC50A1","ENSG00000169241","55974"
"629","UBE2C","ENSG00000175063","11065"
"630","TMEM47","ENSG00000147027","83604"
"631","DSCC1","ENSG00000136982","79075"
"632","E2F1","ENSG00000101412","1869"
"633","ETV1","ENSG00000006468","2115"
"634","RND3","ENSG00000115963","390"
"635","LEF1","ENSG00000138795","51176"
"636","RRS1","ENSG00000179041","23212"
